isim,tel,adres
Mis Köfte,8837505,"Dizdariye Mah. Atatürk Cad. No:47/B Büyükçekmece Merkez, Büyükçekmece"
Antep Evi Çiğ Köfte Sofrası,2163954930,Postane Mah. Mühendis Sok. D:8
Saraybahçe Sac Tava,5394093,"Cumhuriyet Mah. Kıbrıs Cad. No:57 Cumhuriyet, Bahçelievler"
Sbarro,6631548,Barbaros Mah. Halk Cad. Palladium Alisveris Merkezi No:8 K:3 D:325
Antepli Dürümcü Neco Usta,02164575125,Bağdat Cad. No:416
Pizza Hut,"
","Büyükşehir Mah. Cumhuriyet Cad. Atatürk Bulv. Ekinoks Alışveriş Merkezi No:1 K:Zemin D:ZM/16-B, Beylikdüzü"
Pizza Hut,"
","Saadetdere Mah. 68. Sok. Torium Alışveriş Merkezi, No:50 K:3 Esenyurt"
Pizza Hut,"
","Emin Ali Paşa Cad. Bostancı Paragon C Blok No:126 D:3 Bostancı, Kadıköy"
Pizza Hut,"
","Üniversite Mah. Selvi Sok. Pelican Mall Alışveriş ve Yaşam Merkezi No:25 K:2 Gümüşpala, Avcılar"
Pizza Hut,"
","Anadolu Hisarı Mah. Fatih Sultan Mehmet Cad. Funda Sok. No:10 Anadoluhisarı, Beykoz"
Pizza Max,"
","Merkez Mah. Fatih Sok. No:38 Avcılar Merkez, Avcılar"
Pizza Max,"
","Atakent Mah. 5. Cad. No:4 Halkalı, Küçükçekmece"
Cafem,3201699,"Piyale Paşa Bulv. İstanbul Memorial Hastanesi K:1 Okmeydanı, Şişli"
Anteplim Kebap,02164671515,Erenköy Mah. Bayar Cad. No:14
Karadeniz Aile Lokantası,5087081,"Kazım Karabekir Cad. No:105/C Atışalanı, Esenler"
Türkmen Gözleme ve Mantı Evi,2798829,"Lala Paşa Cad. No:1/C Levent, Beşiktaş"
Pizza Hut,"
","Acıbadem Mah. Acıbadem Cad. Tekin Sok. No:103 D:1/A Koşuyolu, Kadıköy"
PizzaTowers,2164898999,"Bağdat Cad. No:101/A Küçükyalı, Maltepe"
PizzaTowers,2122954747,"Girne Cad. No:15/B Hamidiye, Kağıthane"
PizzaTowers,2125710808,"Sakızağacı Mah. İstanbul Cad. Türkmen İş Hanı No:64 Cevizlik, Bakırköy"
Pizza Towers,5052020,"Tepeüstü Mah. No:520 Ihlamurkuyu, Ümraniye"
Popeyes,"
","Taşocağı Cad. No:5 İkitelli, Başakşehir"
Popeyes,6990785,"Saadetdere Mah. 68. Sok. Torium Alışveriş Merkezi No:50 K:3 Esenyurt, Esenyurt"
Popeyes,3614680,"Ali Nihat Tarlan Cad. Bostancı Paragon Residence A Blok K:1 D:126 Bostancı, Kadıköy"
Pizza Tomato,2163348111,"Mimar Sinan Mah. Doğancılar Cad. No:6 Üsküdar Merkez, Üsküdar"
Antep Sofrası,8550244,Yavuz Sultan Selim Cad. No:6
Pilavcı,2592255,"Dereboyu Cad. Gözlükçü Sok. No:8/A Ortaköy, Beşiktaş"
Pilavcı,5479431,"Sümer Mah. Şehti Er Bahar Yavuz Sok. No:41/A Çırpıcı, Zeytinburnu"
Antik Balık Restaurant,5296264,Büyük Kuleli Sok. No:52/A
Antik Kebap,02166221144,İnönü Mah. Sulh Sok. No:5
Aperatif Büfe,02125905848,Marmara Cad. Şamlı Sok. No:21/A
Fischer Restaurant,2659223,Camlik Mah. Ihsan Aksoy Sok. No:6
Tatlıses Çiğ Köfte,5990323,"Kemal Paşa Mah. Halkalı Cad. No:151/C Sefaköy, Küçükçekmece"
Tatlıses Çiğ Köfte,6533663,"Mahmut Bey Cad. No:50/1 Şirinevler, Bahçelievler"
Tatlıses Çiğ Köfte,3995854,"Bağlar Başı Mah. Atatürk Cad. Emre Apt. No:32 D:15 Maltepe Merkez, Maltepe"
Tatlıses Çiğ Köfte,4312626,"Oruç Reis Mah. Barbaros Cad. 578. Sok. Esenler Merkez, Esenler"
Tatlıses Çiğ Köfte,8558454,"Pınar Tepe Mah. Yavuz Sultan Selim Bulv. Hilal Konakları C1 Blok No:9 Beylikdüzü, Beylikdüzü"
Tatlıses Çiğ Köfte,5376380,"Hürriyet Mah. Eski Edirna Asfaltı No:194/A Beşyüzevler, Bayrampaşa"
Aras Kardeşler,02164992114,Yukarı Dudullu Mah. Acı Su Cad. No:43
Tatlıses Çiğ Köfte,4781919,"Erenköy Mah. Şemsettin Günaltay Cad. No:183/A Erenköy, Kadıköy"
Tatlıses Çiğ Köfte,4745404,"Altunizade Mah. Nuh Kuyusu Cad. No:112/A Altunizade, Üsküdar"
Tatlıses Çiğ Köfte,4165866,"Bostancı Mah. Cami Sok. No:40 D:13 Bostancı, Kadıköy"
Tatlıses Çiğ Köfte,6425756,"Çavuş Başı Cad. No:18/B Çekmeköy, Çekmeköy"
Tatlıses Çiğ Köfte,5504144,"Halit Ağa Cad. Yeni Yol Sok. No:4-A Kadıköy Merkez, Kadıköy"
Tatlıses Çiğ Köfte,5827527,"58. Bulv. No:1/B Zeytinburnu Merkez, Zeytinburnu"
Tatlıses Çiğ Köfte,3960706,"Fevzi Çakmak Mah. Marmara Cad. No:39 Kaynarca, Pendik"
Tatlıses Çiğ Köfte,4427464,"Fetih Cad. No:63/1 Şirinevler, Bahçelievler"
Tatlıses Çiğ Köfte,3248840,"Sanayi Mah. Sultan Selim Cad. No:9 Kağıthane Merkez, Kağıthane"
Tatlıses Çiğ Köfte,7290339,"Atatürk Cad. Gümüşoğlu Pasajı No:21/B Silivri Merkez, Silivri"
Tatlıses Çiğ Köfte,3676603,"Bağdat Cad. No:102/A Küçükyalı, Maltepe"
Tatlıses Çiğ Köfte,6447440,"Soğanlı Mah. Mustafa Kemal Paşa Cad. No:158/1 Soğanlı, Bahçelievler"
Tatlıses Çiğ Köfte,5351517,"Şemsi Paşa Mah. Sokullu Mehmet Paşa Cad. No:6/B Küçükköy, Gaziosmanpaşa"
Tatlıses Çiğ Köfte,5292333,"Silivri Kapı Mah. Silivri Kapı Cad. Zengin Apt. No:1/F Kocamustafapaşa, Fatih"
Tatlıses Çiğ Köfte,3831314,"Feyzullah Mah. Bağdat Cad. Kılıç Apt. No:300 D:6 Feyzullah, Maltepe"
Tatlıses Çiğ Köfte,6974400,"Halkalı Atakent Mah. Atatürk Cad. Kırlangıç Sok. No:14/12 Halkalı, Küçükçekmece"
Tatlıses Çiğ Köfte,4756767,"Cebeci Mah. Atatürk Bulv. No:53 Cebeci, Sultangazi"
La Familia,2583582,Abbasaga Mah. Yildiz Cad. No:40 D:18
Yali Balik,3234214,Kelle Ibrahim Cad. No:6
Melek Abla Ev Yemekleri,7103956,Ayazma Yolu No:18/A
Özsüt,6692845,"3. Cad. Süzer Bulv. Şehr-i Bazaar G Blok No:3 K:Giriş Bahçeşehir, Başakşehir"
McDonald's,2697294,"Levent Mah. Akçam Sok. No:18 D:1 Levent, Beşiktaş"
Durak Bufe,2583685,Dikilitas Mah. Emirhan Cad. No:66/B
Can Kardeşler Et Lokantası,6684507,"Atatürk Bulv. No:18 Sultançiftliği, Sultangazi"
Oses Cig Kofteci Osman Usta,2550598,Fatih Sultan Cad. Cesme Duragi No:44
Ada Vapuru Ev Yemekleri,5507591,"Vişne Sok. Yargılı Apt. No:7 Osmanağa, Kadıköy"
Oses Cig Kofteci Osman Usta,8062331,Mehmet Akif Mah. Asik Veysel Cad. No:46
Meymeze Bay Uygar,+90 532 627 0647,Fuat Uzunay Sok. No:10
Merkez Tasfirin,4125420,Asagi Bulgurlu Cad. No:124/D
Yedi Bolge Ev Yemekleri,6608694,Hatboyu Cad. Husruviye Sok. No:34
Özsüt,3136878,"Fatih Sultan Mehmet Mah. Balkan Cad. M1 Meydan Alışveriş Merkezi No:64 D:32 Ihlamurkuyu, Ümraniye"
Planet Food,3809313,Bayar Cad. No:82/A
Irem Makarnaci,5112683,Vezir Han Cad. No:18
Koylum Bufe,3961575,Fevzi Cakmak Mah. Inonu Cad. No:22 D:1/D
Corner,3852460,"Bağdat Cad. Ay Apt. No:224 D:4 Çiftehavuzlar, Kadıköy"
Adam's Pizza,3864134,"Atatürk Cad. Dilkum Sitesi 7. Blok No:59 D:6 Kozyatağı, Kadıköy"
Eyvallah Dürüm,3323344,Hekim Başı Çıktık Cad. No:1 Üsküdar
Çapari Arif,5172271,"Çapari Sok. No:47 Kumkapı, Fatih"
Menemenci,4916958,Ismet Pasa Cad. No:49
Bebek Izgara,2572429,"Cevdet Paşa Cad. İpek Sok. No:2 Bebek, Beşiktaş"
Meşhur Trabzon Pidecisi,3649429,Tepeüstü Mah. Alemdağ Cad. Poyraz Sok. No:1 Ihlamurkuyu
Fevzi Tor Sultanahmet Köftecisi,3022866,"Bostan Yolu Hatat Yolu Sok. No:30 Yukarı Dudullu, Ümraniye"
Schiller Chiemsee,3801290,Büyükdere Cad. İstanbul Cevahir Alışveriş ve Eğlence Merkezi No:22 K:6 D:614 Şişli Merkez
Köfte'cim Ali Usta,4784707,"Ethem Efendi Cad. Sevgi Apt. No:19/C Erenköy, Kadıköy"
Sarıoğlu Büfe,5752153,İçerenköy Mah. Kayışdağı Cad. No:1 İçerenköy
Mac Cafe,3531323,Büyükdere Cad. Kanyon Alışveriş Merkezi No:185 K:1 Levent
Dostlar Aile Et Lokantası,5722798,"Küçükbakkalköy Mah. Atatürk Cad. Kastelli İş Merkezi No:86 Küçükbakkalköy, Ataşehir"
Domino's Pizza,5335353,"Çakmak Mah. Samanyolu Cad. Kurban Sok. No:88 D:1 Çakmak, Ümraniye"
Ardalım İskender,02163984302,Mehmet Akif Mah. Fatih Bulv. No:234 Mehmet Akif
Tatlıses Çiğ Köfte,3250608,"Orta Bayır Mah. Talat Paşa Cad. No:40 Gültepe, Kağıthane"
Tatlıses Çiğ Köfte,5733763,"Eski Üsküdar Yolu No:16/B İçerenköy, Ataşehir"
Arby's,5964084,Saadetdere Mah. 68. Sok. Torium Alışveriş Merkezi No:50 K:3
Tatlıses Çiğ Köfte,6622038,"İstasyon Cad. Canik Pasajı No:1/C Yeşilköy, Bakırköy"
Arka Bahçe Restaurant,3498376,Eğitim Mah. Kasap İsmail Sok. No:8
Tatlıses Çiğ Köfte,8636595,"Batıköy Mah. Mustafa Kemal Paşa Bulv. A Blok No:4/16 Büyükçekmece Merkez, Büyükçekmece"
Tatlıses Çiğ Köfte,5802002,"Kanarya Mah. Arıkuşu Sok. No:10 Küçükçekmece Merkez, Küçükçekmece"
Tatlıses Çiğ Köfte,2303744,"Baruthane Cad. No:51/B Kurtuluş, Şişli"
Pastarito,2366700,Vişnezade Mah. Süleyman Seba Cad. No:2 Akaretler
Cadde Marmaris Büfe,3630255,"Suadiye Mah. Bağdat Cad. No:366 D:1 Şaşkınbakkal, Kadıköy"
Amca Resat Durum Evi,2713403,Cayirbasi Mah. Testiciler Sok. No:3
Armoni Büfe,02125207272,Reşit Paşa Cad. No:50
Tatlıses Çiğ Köfte,6433300,"Haznedar Mah. Bağcılar Cad. No:2 Güngören Merkez, Güngören"
Leverde Restaurant,252 7160,Mesrutiyet Cad. Oteller Sok. The Peak Otel No.1 K 1 D 3 Tepebasi
Tatlıses Çiğ Köfte,4965329,"Mehmet Akif Mah. Fatih Bulv. No:252 Mehmet Akif, Sultanbeyli"
Köfteci Ramiz,5278200,"Fatih Sultan Mehmet Mah. Balkan Cad. M1 Meydan Alışveriş Merkezi No:64 Ihlamurkuyu, Ümraniye"
Tatlıses Çiğ Köfte,8540305,"Güzelyurt Mah. Yıldırım Beyazıd Cad. Mor Menekşe Sitesi B1 Blok No:50 Beylikdüzü, Beylikdüzü"
Tatlıses Çiğ Köfte,6163363,"İslam Bey Cad. No:2/B Eyüp Merkez, Eyüp"
Tatlıses Çiğ Köfte,2625858,"Adnan Kahveci Cad. No:61 Tarabya, Sarıyer"
Armoni Restaurant,3801204,19 Mayıs Mah. Doktor İsmet Öztürk Cad.
Tatlıses Çiğ Köfte,4738770,"Kordon Boyu Mah. 23 Nisan Cad. No:19 Kartal Merkez, Kartal"
Tatlıses Çiğ Köfte,6326363,"Haseki Mah. Millet Cad. No:27/D Fatih Merkez, Fatih"
Tatlıses Çiğ Köfte,3353554,"Namık Kemal Mah. Sütçü İmam Cad. No:80 D:2 Namık Kemal, Ümraniye"
Sosistanbul,5274590,Ankara Cad. No:151
Bostancı Türkü Konağı,3801818,"Bağdat Cad. No:532 D:1 Bostancı, Kadıköy"
Pinar Cig Kofte,5909876,Namik Kemal Cad. No:29
Arsamiea Çiğköfte,5525898,Ahmet Yesevi Cad. No:251/A
Arsamiea Çiğköfte,6779737,Ferit Selim Paşa Cad. No:41
Art Pizza,5768469,Kayışdağı Cad. No:118
Arzum Büfe,02125532125,Erkaya Sok. No:2
Pasanin Durumcusu,5555053,Siyavus Pasa Cad. No:28
Bosfor Domani Restaurant,2716573,Cayirbasi Cad. No:312
Damak Durumcusu,5537819,Siyavus Pasa Cad.
Yavuzlar Bufe,5045351,Eski Londra Asfalti No:115
Salihoğulları Et Lokantası,4710359,"YEDPA Ticaret Merkezi C Cad. K:Asma D:RK3 Yeni Çamlıca, Ataşehir"
As Büfe,6374099,Keresteciler Sitesi Fatih Cad. Kayalar Sok. No:14 D:14
Tatlıses Çiğ Köfte,4524454,"Zafer Mah. Yıldırım Beyazıt Cad. No:168 Yenibosna, Bahçelievler"
Tatlıses Çiğ Köfte,5051715,"İstiklal Mah. No:274/B Namık Kemal, Ümraniye"
Tatlıses Çiğ Köfte,6933060,"İkitelli Mah. Atatürk Cad. No:74/B İkitelli, Başakşehir"
Kahta Cig Koftecisi Bilal Usta,2810638,Ibrahim Karaoglu Cad. No:121
Asıltat,02125476623,Yenidoğan Mah. Şehit Günaydın Cad. No:133
Cig Kofteci Metin Usta,4277862,Tulin Cad. Firuzan Sok. No:7
Bambi Kumrucu,2529205,"Sıra Selviler Cad. No:16 Taksim, Beyoğlu"
Aslan Bey Sofrası,02126765292,Deniz Köşkler Mah. Gümüşpala Cad. No:31/A
Asma Cafe,2811789,Emniyet Evleri Mah. Özcan Sok. No:6
Sosa,3248590,"Büyükdere Cad. Kule Çarşı İş Kuleleri No:1 Levent, Beşiktaş"
Nebizade Bursa Kebabı,2332717,"Teşvikiye Mah. Ahmet Fetgari Sok. No:146 Teşvikiye, Şişli"
Bereket Pide Salonu,6523322,"Mahmut Bey Yolu 21. Murat Sok. Azka Blokları No:25 D:1 Şirinevler, Bahçelievler"
Elcin Bufe,2710348,Kozdere Mah. Bahcekoy Yolu Cad. No:15
Sultanahmet Köftecisi,5808282,36. Ada Ata Plaza No:2 D:3 Ataşehir Merkez
Sanli Bufe,2615253,Barbaros Bulv. No:4 D:5
İstasyon Bistro,3461560,Atatürk Oto Sanayi Sitesi 1. Kısım D:1 Maslak
Asso,6425554,Mehmet Akif Mah. Şahin Bey Cad. No:7/C
Antebi Kazan,3680733,Rıfat Bey Sok. No:4 Caddebostan
Ateş Burger,02126533043,Meriç Sok. No:21/2
Little Caesars Pizza,3029151,"Atatürk Cad. Tarık Apt. No:44 D:1 Kozyatağı, Kadıköy"
Mel's,2577040,"Cevdet Paşa Cad. Vezir Köşkü Sok. No:2 Bebek, Beşiktaş"
Festiva,2525119,"İstiklal Cad. Fuat Uzunay Sok. No:3/B Taksim, Beyoğlu"
Saf Restaurant,2570067,"Kuruçeşme Mah. Kuruçeşme Cad. Sahil Yolu No:49 Arnavutköy, Beşiktaş"
Sultanahmet Halk Köftecisi,2938544,"Şahkulu Mah. Galip Dede Cad. No:17 Arapcami, Beyoğlu"
Urfa'dan Kebapci,2625048,Kefelikoy Cad. No:66-68
Bay Fiko,4426048,Baglarbasi Mah. Ataturk Cad. Grandhaus Alisveris Merkezi No:41 K:Zemin
Defne Mantı,3027026,"Plaj Yolu No:14 D:1 Kalamış, Kadıköy"
Üç Kardeşler Lokantası,2523997,"Kuloğlu Mah. Sadri Alışık Sok. No:44/A Cihangir, Beyoğlu"
Citir Balikevi,2610604,Sinan Paşa Mah. Şehit Asım Cad. No:24 Beşiktaş Merkez
Dideban Doner,902126593191,Istoc 5. Ada No:90
Cigkoftem,6517466,Eski Londra Asfalti Cemal Akin Is Merkezi No:39 K:6
Chef Peppe Peppes Pizza,2125733839,Hamdullah Suphi Tanrıöver Sok.11 Yeşilköy
Alamut Cafe,+(90)2163474770,Rasimpaşa mah. karakolhane cad.No:5
Ornek Lezz-Et Konagi,4796843,Cengeldere Mah. Polenez Kavsagi No:62
Seker Cafe,2596581,Dolmabahce Cad. No:47
Ayfer Manti ve Ev Urunleri,3887769,Altintepe Mah. Istiklal Sok. Kardesler Apt. No:22 D:2
Adiyaman Meric Pide Salonu,6511170,Ataturk Cad. No:49
Pame Meyhane,90-2122966697,"Abdülhak Hamit Caddesi, 19"
Meyhane Leyla,90-5326093993,"Hamam Sokak, 60/a, Kartal"
Kallavi Meyhane & Fasıl,90-2122451213,İstiklal Caddesi Kurabiye Sokak No:16
Gurmen Bufe,6375780,Keresteciler Sitesi Karadag Sok.
Daru Sultan,90-2122523232,"Meşrutiyet Caddesi, No:108"
Big Yellow Taxi Benzin Kartal,90-2164883488,"Pendik, Ankara Caddesi, 116"
Ana Sofrası,90-2125141200,"Dervişler Sokak, 7-9"
Eyupoglu Kebap ve Lahmacun Salonu,3989027,Abdurrahmangazi Mah. Fatih Bulv. No:74
Bogazici Kafe Restaurant,02163239768,"Merkez mahallesi, Fevzipasa cad No:3"
Dilek,4718332,Atatürk Mah. Elmalı Sok. No:1 Küçükçekmece
Gecit Restaurant,254 3505,Emek Yemez Mah. Yuksek Minare Sok. No. 8 D 4 Karakoy
Doyum Bufe,4423197,Ataturk Cad. No:27
Semsek Pide,6296300,Namik Kemal Cad. No:64
Tarihi Safranbolu Pide Kofte ve Yemek Salonu,4966877,Abdurrahmangazi Mah. Fatih Bulv. No:68
Doorless,5719009,Bakirkoy Sahil Yolu Kenedy Cad. No:31
Avşa Büfe,6124112,Ihlamurkuyu Mah. Alemdağ Cad. Kızılırmak İş Merkezi No:281 D:11
Avşa Kumru,5481887,Ata 3/4 38. Ada Atatürk Bulv. No:22
Kornet Pizza,+90 216 677 19 77,Fırat Cad. Formula 1 Yolu Millenium Bazaar D:C/67
Oses Cig Kofteci Osman Usta,5875132,Alifakih Mah. Ali Fakih Cad. No:80/B
Cem Doner,6545799,Mahmut Bey Yolu No:9
Komagene,3514142,Akatlar Mah. Zeytinoğlu Cad. No:73
Koçlar Pide,6311253,Yukarı Dudullu Mah. Alemdağ Cad. Genç Kayalar İş Merkezi
Meşhur Adıyaman Çiğ Köftecisi Ömer Usta,4934565,"Aydıntepe Mah. 100. Yıl Cad. No:71/A Tuzla Merkez, Tuzla"
Kardeşler Köfte ve Yemek Salonu,6328842,"Başvekil Cad. No:44 Şehremini, Fatih"
Örnek Dürüm Evi,4728222,"G35. Cad. No:55 D:1 Örnek, Ataşehir"
Emmoğlu İskender,3736559,"Emin Ali Paşa Cad. No:120 D:1 Bostancı, Kadıköy"
Çiçek Büfe,5423305,İncirli Cad. Başarı Sok. No:1 D:1 Bakırköy Merkez
Habil Pizza & Cafe,3220104,"Ssm Cad. No:27 D:1 Kavacık, Beykoz"
Balim Bufe,5157303,Mahmutbey Yolu No:19
Dunav Restaurant & Cafe,+(90)2163023995,Noter Sok. Yazicioglu Apt. 10/3B Bagdat Cad.
Safinaz,5777027,Kayışdağı Cad. G84 Sok. No:5
Kafeist Bistro,+(90)2128813391,Atatürk Mahallesi Zeki Müren sokak
Mercan Taşfırın Pide Lahmacun Kebap Salonu,5145700,Siyavuşpaşa Sok. Kayseri İş Hanı No:18 K:1 D:610 Fatih
Sucukcu Neco,4240204,"Cennet Mah. Alpaslan Cad. Yıldırım Sok. No:12 Küçükçekmece Merkez, Küçükçekmece"
Tonton Büfe,02122588881,Cihannüma Mah. Barbaros Bulv. No:5
Turunc Restaurant,2667878,Ortaklar Cad. Bahceler Sok. No:21
Cadde Kiraca,+(90)2164670106,1-5 Ogun Sokak
O Pilavcı,3306064,Fener Yolu Mah. Bağdat Cad. Gazi Muhtar Sok. No:1 Kadıköy
Kotlet Kebap,3591300,Bağdat Cad. Beyaz Akasya Sok. No:298 D:1 Kadıköy
Mirano Restoran,2688313,Büyükdere Cad. İstanbul Sapphire No:1 K:1 Beşiktaş
Yağmur Et Lokantası,3345036,Aziz Mahmut Hüdayi Mah. Uncular Cad. No:37 Üsküdar Merkez
Lagash,3435576,Mimar Sinan Mah. Selami Ali Efendi Cad. No:4 D:1 Üsküdar
Bolca Nine Lokantası,3275738,Mecidiye Mah. Eskibahçe Sok. No:7/A Beşiktaş
Ilyas Usta Kebap & Pide,5537474,Talat Pasa Cad. No:38
Güldalım Yemek,3138500,Necip Fazıl Mah. Alemdağ Cad. No:9
Meşhur Fasülyeci,2012201,Muratreis Mah. Resul Küttap Sok. No:53/A Üsküdar
Edirne Kırkpınar Lokantası,3977279,Sanayi Mah. 1655 Sok. No:100 Esenyurt
Gülgönül Tinte Kebap,7871516,Tevfik Erdönmez Cad. No:10
Doner Mi Doner,5245424,Asagi Guruba Cad. No:21
Halil İbrahim Sofrası,3404335,Vatan Mah. 5. Çilek Sok. No:3
Hamur Abla,4656834,Kuleli Mevki E-5 Karayolu Londra Asfaltı AVM K:4
Hamuriş,3350149,Atatürk Mah. Alemdağ Cad. No:188/A
Hamur Merdane Börek ve Pide Salonu,2406340,Merkez Mah. Harzemşah Sok. No:3/A
Hanedan Kebap,6716479,Dersankoop Sanayi Sitesi S6D Blok D:102
Han Ev Yemekleri,5329828,Valide Atik Mah. Nuhkuyusu Cad. No:173/A
Fudu,2529129,Evliya Çelebi Mah. Kıblelizade Sok. No:14/A Beyoğlu
Hanımağa Cafe,3462700,Moda Cad. Nailbey Sok. No:41 D:3
Alaturka,2524040,Hüseyin Ağa Mah. Sahne Sok. No:21 Beyoğlu Merkez
Küçükoğlu Et Dünyası,2278042,Vişnezade Mah. Süleyman Seba Cad. Acısu Sok. Tahsin Bey Apt. No:87 Beşiktaş
Hazan Çiğ Köfte,3126008,Yunus Emre Mah. Veysel Karani Cad. No:71
Harman Et Lokantası,5139625,Mahmut Paşa Yokuşu Kürkçü Han D:8 Fatih
Bi Dünya Köfte,3720605,İnönü Cad. Mercan Sok. No:8 Kadıköy
Ari Bufe,275 3695,Zincirlikuyu Mah. Kore Sehitler Cad. No. 2/C
Hazar Kebap Lahmacun ve Döner Salonu,5482468,İnönü Mah. Maslak Çeşme Cad. No:86
Biftek 33 Tantuni,+(90)2164563433,"Ataşehir Bulvarı Ata 2/4 Blok,No:8A"
Adsız Ev Yemekleri,2377837,Kocatepe Mah. Taksim Cad. Yoğurtçu Faik Sok. No:1/C Beyoğlu Merkez
Perispri Balat,(0212) 521 54 43,Doktor Sadık Ahmet caddesi no:10 Fener/Fatih
Teras Kebap,3282850,Ayazağa Mah. Üç Yol Mevki No:229 D:1 Şişli
Anadolu Huzur Lokantası,3638452,Fahrettin Kerim Gökay Cad. No:238 Kadıköy
Asude Sofrası,5806901,Kartaltepe Mah. Belediye Cad. No:22 D:1 Küçükçekmece
Adalet Cafe Restaurant,2246677,Hürriyet Mah. Dr. Cemile Bengü Cad. No:2 Kağıthane
Banadura Adana Kebapçısı,5662501,Merdivenköy Mah. Hızır Bey Cad. Karaslı Apt. No:138 D:1 Kadıköy
Banksis Lokali,2613551,Sinan Paşa Mah. Dolmabahçe Cad. Ak İş Hanı K:5 D:23 Beşiktaş
Adalı World,3838852,Turgut Özal Bulv. No:193/B Maltepe
Hacı Baba Pide Fırını,4594268,Bağlarbaşı Mah. Cemalbey Cad. No:36
Hacı Bekir İskender,3640191,Esenşehir Mah. Kürkcüler Cad. No:10
Bakırköy Lokanta,5437888,Dantelacı Sok. No:8 Bakırköy
Ata Lokantası,2647100,Huzur Mah. Oto Sanayi Sitesi Ulubaş Cad. D:7 Şişli
Bambi Cafe,4507799,Halaskargazi Cad. Asan İş Hanı No:243 D:101 Şişli
Şampiyon Kokoreç,5062020,Doğu Mah. Ankara Cad. No:167/A Pendik Merkez
Köyden Kahvaltı & Mantı,+(90)2122347004,Halaskargazi Mh. Rumeli Cd. Kuyumcu Irfan Sk
Meşhur Adıyaman Çiğ Köftecisi Ömer Usta,6724760,"Esenyurt Mah. Talat Paşa Cad. Kardelen Evleri No:27 Esenyurt, Esenyurt"
Meşhur Adıyaman Çiğ Köftecisi Ömer Usta,5340075,"Fatih Mah. Fevzi Paşa Cad. No:151 Fatih Merkez, Fatih"
Hicazkar Restoran,6694041,Doğa Parkı Cad. Gölet Park No:11 D:9
Egerokka Restaurant,902164457878,Atatürk Mah. Ataşehir Bulv.Ata Blokları 3/4 38. Ada no: 49
Cadde Kebap,+(90)216 342 12 52,Salacak Mah. Tunusbağı Cad. No: 50A
Dall Amelia Terrace Restaurant,05383687079,Cankurtaran Mah Tevfikiye Sokak No 9
Harlı Cafe,3431905,Halaskargazi Cad. Site Pasajı No:139 D:2
Harput Lahmacun ve Kebap Salonu,3147795,Nato Yolu Cad. No:37/B
Borades Pizza,+(90)02165940022,"çamlık Mah. ikbal cad. Kafkas Sok. No: Ümraniye İstanbul, Türkiye"
Köşk Dalyan,02163635856,Dalyan Fuat Paşa Cad. Kurukahveciler Köşkü
Sampi,3227787,"İstanbul Cad. Nazlı Sok. Neo Stüdyo Sitesi D:2-3-4 Göktürk, Eyüp"
Köşe Brasserie,02122498053,Asmalı Mescit Mah. Sofyalı Sok. No:7/D
Rabat Köfte,0216 450 37 30,Bağdat Cad. No:87
Uzun Yayla,5962592,"Fevzi Çakmak Mah. Cemal Gürsel Cad. Hocaoplu İş Hanı No:115 Çamçeşme, Pendik"
Ziyade Balık,5906364,"Merkez Mah. Reşit Paşa Cad. No:34 Avcılar Merkez, Avcılar"
12/4 Açık Büfe,+90 216 455 4140,Atatürk Bulv. Ata 3/4 Blok No:49 Ataşehir Merkez
Burger King,5691060,Nene Hatun Mah. Davut Paşa Cad. No:52
Burger King,5450616,Muhittin Üstündağ Cad. No:79/A
Burger King,3614655,Emin Ali Paşa Cad. Bostancı Paragon Residence A Blok K:1 D:126/A
Burger King,6962393,Atakent Mah. Çiçekli Vadi Cad. ArenaPark Alışveriş Merkezi No:1
3.Nokta Cafe,5059439999,Ferhatpaşa Mahallesi Öğretmen Nevzat Tekin Caddesi Ölçerler Kolcuoğlu Apartmanı 2/A 34540 Çatalca
Burger King,6201684,Saadetdere Mah. 68. Sok. Torium AMV No:50 K:3
Burger King,4514662,Saadettin Tandan Meydanı Meriç Sok. No:4
Lost Pub,2122451681,Bekar sokak no:23
Burger King,5540040,Eski Londra Asfaltı M1 Meydan Alışveriş Merkezi No:5
Aamethyst restaurant,+(90)2126386077,mesihpaşamah. ceylan sok.no:6 LALELİ
Ottoman Nisantasi City's,902123732525,Tesvikiye Caddesi City's Avm Kat 4 Nisantasi Sisli
Story Life Cafe,4441219,1997sk
Kardeşler Et ve Balık,(0212) 787 1574,İcadiye Sok. No:89
Kardeşler Köftecisi,0 212 588 09 60 ,Orgeneral Nafiz Gürman Cad. No:207
Kardeşler Ocakbaşı, (0212) 665 7260,Turan Güneş Cad. No:151
Kardeşler Pide Lahmacun Salonu,0212-6491701,Fevzi Çakmak Mah. Hekimsuyu Cad. No:6/B
Karkas Steakhouse,0212 323 5914,Reşitpaşa Mah. Doğanevler Cad. No:64/A
Ortaköy Ceviziçi Cafe,+(90)2123279682,Mecidiye Mah. Muallim Naci Cad. Bestenigar Ziya Sok.
Cafuné,"
",Katip Mustafa Celebi Mah. Mac Sok.7/2
Ar-Ruha Restaurant,+(90)0212 232 77 71,Teşvikiye Mah. Ahmet Fetgari Sok. No : 40/A Nişantaşı
Tane Tane Pilav,6410233,"Mehmet Akif Mah. Recep Ayan Cad. No:3/B Çekmeköy, Çekmeköy"
